,Initial Comp.,,,,,,MC/MD comp.,,,,,MC/MD adsorption,,,,,Disorder
#,Co,Ni,Cr,Fe,Mn,Temp,Co,Ni,Cr,Fe,Mn,Co,Ni,Cr,Fe,Mn,
1,0.2,0.2,0.2,0.2,0.2,1000,0.2247044,0.2085728,0.154564,0.2297946,0.1823642,-0.09912302,-0.03545,0.186016,-0.1213136,0.0698699,0.4313876
,,,,,,1100,0.217591,0.2077098,0.1684746,0.2217738,0.184451,-0.06130286,-0.02599,0.118474,-0.08839772,0.05721482,0.4016562
,,,,,,1200,0.2082402,0.2086334,0.1814516,0.2141788,0.1874958,-0.03034456,-0.03521,0.07350504,-0.0554934,0.04754542,0.4527468
,,,,,,1300,0.2068824,0.2104858,0.1822802,0.2127374,0.187614,-0.0275058,-0.04146,0.07652364,-0.05511442,0.04755238,0.4869898
2,0.15,0.25,0.2,0.2,0.2,1000,0.1683998,0.2586266,0.1607916,0.2292928,0.1828892,-0.06908682,-0.02497,0.1428156,-0.11548334,0.06672472,0.3977256
,,,,,,1100,0.1591464,0.260081,0.1758616,0.217407,0.1875042,-0.02811886,-0.03398,0.07715408,-0.0623305,0.04727802,0.3984064
,,,,,,1200,0.1544188,0.2602534,0.1844576,0.2100756,0.1907948,-0.017331284,-0.03655,0.06360318,-0.0409188,0.03119192,0.408178
,,,,,,1300,0.1545376,0.2597198,0.1863402,0.2105958,0.1888068,-0.01334122,-0.03815,0.0511015,-0.038129086,0.03852224,0.4243066
3,0.15,0.2,0.25,0.2,0.2,1000,0.169077,0.2108902,0.201244,0.2357848,0.183004,-0.06712412,-0.03857,0.1766814,-0.1349026,0.06391768,0.4203576
,,,,,,1100,0.1668164,0.2115518,0.2082228,0.2295444,0.1838644,-0.06769936,-0.04051,0.164501,-0.11722138,0.06093304,0.4342256
,,,,,,1200,0.1598078,0.2116578,0.2250676,0.2179114,0.1855554,-0.04735916,-0.04502,0.1131164,-0.08223054,0.06149742,0.4598594
,,,,,,1300,0.15835,0.2098426,0.230102,0.2147536,0.186952,-0.02362469,-0.03971,0.0712551,-0.05660098,0.04868276,0.4377734
4,0.15,0.2,0.2,0.25,0.2,1000,0.1713926,0.2093952,0.1473034,0.2923356,0.179573,-0.0735961,-0.03483,0.189116,-0.1571486,0.07646158,0.4075858
,,,,,,1100,0.1683432,0.2082664,0.1531106,0.2876948,0.1825842,-0.07631398,-0.02569,0.1841102,-0.1511928,0.0690836,0.4255456
,,,,,,1200,0.1621792,0.2079418,0.1707946,0.2746622,0.1844224,-0.0499922,-0.02971,0.1199912,-0.09917098,0.05888214,0.4428172
,,,,,,1300,0.157688,0.2089398,0.1778036,0.2704398,0.185129,-0.034919224,-0.03282,0.09268494,-0.0844577,0.0595113,0.4477642
5,0.15,0.2,0.2,0.2,0.25,1000,0.1666198,0.2097402,0.1618578,0.227337,0.2344448,-0.0766436,-0.03793,0.1738878,-0.1196804,0.06036694,0.4364598
,,,,,,1100,0.1613988,0.208129,0.1728038,0.220773,0.2368958,-0.05134486,-0.02977,0.1252102,-0.0923787,0.04828816,0.408049
,,,,,,1200,0.1564984,0.2101326,0.1787326,0.2169394,0.2376972,-0.018346671,-0.03369,0.07102226,-0.06054776,0.04156456,0.4182862
,,,,,,1300,0.155819,0.208562,0.184016,0.2119386,0.2396646,-0.024405676,-0.03774,0.07087652,-0.04567312,0.0369413,0.4665962
6,0.1,0.3,0.2,0.2,0.2,1000,0.1099924,0.311448,0.1677888,0.2238338,0.1869368,-0.03195516,-0.039,0.10747432,-0.0811604,0.04463948,0.4075044
,,,,,,1100,0.107315,0.3115594,0.1756762,0.2181746,0.1872752,-0.02509798,-0.04169,0.08990362,-0.07083026,0.04771302,0.4071502
,,,,,,1200,0.1035148,0.3111848,0.1848472,0.210614,0.1898394,-0.007067174,-0.04259,0.0514411,-0.03586968,0.0340892,0.4169696
,,,,,,1300,0.10157456,0.3120184,0.1874076,0.2087058,0.1902938,-0.002255834,-0.0435,0.04242412,-0.032246598,0.03558096,0.421784
7,0.1,0.2,0.3,0.2,0.2,1000,0.120516,0.2107494,0.242896,0.2426698,0.1831688,-0.081268,-0.0377,0.2311722,-0.1707954,0.05858926,0.4228666
,,,,,,1100,0.1116864,0.2107464,0.2621026,0.228404,0.1870606,-0.04022258,-0.0407,0.138145,-0.10259262,0.04537278,0.4586238
,,,,,,1200,0.1060066,0.2111132,0.2780226,0.2153062,0.1895512,-0.023576608,-0.04108,0.08203654,-0.05652538,0.0391449,0.4277
,,,,,,1300,0.1035244,0.2110764,0.2824476,0.2146938,0.1882576,-0.016514029,-0.04342,0.0848894,-0.06857602,0.043622658,0.4122178
8,0.1,0.2,0.2,0.3,0.2,1000,0.1151284,0.2104544,0.1425656,0.3541176,0.177734,-0.04763534,-0.03376,0.1920438,-0.1910834,0.08043718,0.420203
,,,,,,1100,0.1110582,0.2076576,0.1605818,0.3376164,0.183086,-0.0357402,-0.01944,0.12372354,-0.12784018,0.0592973,0.4178152
,,,,,,1200,0.1086398,0.2086842,0.1695126,0.3305836,0.1825802,-0.026234346,-0.02878,0.1043074,-0.10562028,0.05633032,0.4451288
,,,,,,1300,0.1054226,0.208163,0.1794886,0.3209792,0.1859468,-0.0214295,-0.02697,0.08671504,-0.08623306,0.04791604,0.4292594
9,0.1,0.2,0.2,0.2,0.3,1000,0.108191,0.209298,0.1718488,0.2213484,0.2893142,-0.03210446,-0.03217,0.115021,-0.08983172,0.03908138,0.3954274
,,,,,,1100,0.103936,0.2093366,0.1805956,0.2155582,0.2905738,-0.007058735,-0.03476,0.07138998,-0.06211644,0.0325406,0.385946
,,,,,,1200,0.1046302,0.2108276,0.17846,0.217141,0.2889412,-0.016500304,-0.04091,0.08796412,-0.07053946,0.0399836,0.41061
,,,,,,1300,0.1017354,0.210914,0.1854504,0.2141674,0.2877326,-0.007024568,-0.03568,0.05237328,-0.0527604,0.04309146,0.4585446
10,0.25,0.15,0.2,0.2,0.2,1000,0.2912826,0.154424,0.1351542,0.241679,0.17746,-0.1767074,-0.01232,0.2799754,-0.179566,0.08861936,0.4507572
,,,,,,1100,0.2749422,0.1560064,0.160345,0.2259454,0.1827606,-0.0976379,-0.01825,0.1616238,-0.11400492,0.06827186,0.412288
,,,,,,1200,0.2634854,0.1582842,0.174893,0.2180122,0.1853256,-0.039164466,-0.02762,0.07981448,-0.06361672,0.0505881,0.425224
,,,,,,1300,0.26541,0.158479,0.1749342,0.2178654,0.1833112,-0.0687258,-0.03132,0.11571966,-0.08482136,0.0691451,0.4993194
11,0.2,0.15,0.25,0.2,0.2,1000,0.2378036,0.1594516,0.177123,0.2461532,0.1794684,-0.1583218,-0.0336,0.314286,-0.2010508,0.07869024,0.4550704
,,,,,,1100,0.2332556,0.1568148,0.1900044,0.2394354,0.1804898,-0.1300958,-0.0225,0.2367376,-0.1540014,0.06986016,0.4199662
,,,,,,1200,0.2212856,0.158399,0.2109938,0.226765,0.1825562,-0.08364194,-0.02488,0.152367,-0.10878512,0.06493894,0.4515856
,,,,,,1300,0.2142434,0.1579994,0.2249858,0.218656,0.184116,-0.05580676,-0.03115,0.10601308,-0.0819501,0.0628934,0.4472184
12,0.2,0.15,0.2,0.25,0.2,1000,0.2258672,0.1562032,0.1474656,0.2909634,0.1795008,-0.1135817,-0.02483,0.2309062,-0.1759164,0.08342632,0.4357374
