,Initial Comp.,,,,,,MC/MD comp.,,,,,MC/MD adsorption,,,,,Disorder,Gamma_sum,MC/MD comp. std,,,,,MC/MD adsorption std,,,,,Disorder std,V_tot,V_free,difference,,,,
#,Co,Ni,Cr,Fe,Mn,Temp,Co,Ni,Cr,Fe,Mn,Co,Ni,Cr,Fe,Mn,,,Co,Ni,Cr,Fe,Mn,Co,Ni,Cr,Fe,Mn,,,,Co,Ni,Cr,Fe,Mn
1,0.2,0.2,0.2,0.2,0.2,1000,0.2247044,0.2085728,0.154564,0.2297946,0.1823642,-0.09912302,-0.03545,0.186016,-0.1213136,0.0698699,0.4313876,-0.000000100000,0.002705046,0.001581751,0.002680013,0.001844255,0.000765272,0.013919921,0.008824588,0.008588745,0.01160547,0.010934071,0.00490318,12.129897,-0.12129897,-0.039398675,0.03545,0.124075639,-0.090497629,-0.017000515
,,,,,,1100,0.217591,0.2077098,0.1684746,0.2217738,0.184451,-0.06130286,-0.02599,0.118474,-0.08839772,0.05721482,0.4016562,0.000000160000,0.002074159,0.002378526,0.004080395,0.001522736,0.001590609,0.007122515,0.008024274,0.01207559,0.009155258,0.010298442,0.005734528,12.181516,0.194904256,-0.00285414,0.02599,0.021620714,-0.007295391,-0.03089082
,,,,,,1200,0.2082402,0.2086334,0.1814516,0.2141788,0.1874958,-0.03034456,-0.03521,0.07350504,-0.0554934,0.04754542,0.4527468,0.000000000000,0.002785696,0.000703745,0.002312246,0.001730636,0.000990658,0.007234018,0.00382857,0.007867249,0.00695646,0.005892331,0.01065793,12.23945,0,-0.050003438,0.03521,0.09233446,-0.057784947,-0.009570203
,,,,,,1300,0.2068824,0.2104858,0.1822802,0.2127374,0.187614,-0.0275058,-0.04146,0.07652364,-0.05511442,0.04755238,0.4869898,0.000000000000,0.001935561,0.002332737,0.002759524,0.001746576,0.002150204,0.008372704,0.013494248,0.010044516,0.008374855,0.021427445,0.009984777,12.298475,0,-0.016604916,0.04146,-0.005828684,0.006825516,-0.016099522
2,0.15,0.25,0.2,0.2,0.2,1000,0.1683998,0.2586266,0.1607916,0.2292928,0.1828892,-0.06908682,-0.02497,0.1428156,-0.11548334,0.06672472,0.3977256,-0.000000160000,0.001669883,0.002943335,0.002702935,0.003894194,0.002592818,0.015635729,0.009870409,0.012991767,0.016101372,0.0134143,0.004266705,12.151077,-0.194417232,-0.012142151,0.02497,0.0390218,-0.008722534,-0.03572217
,,,,,,1100,0.1591464,0.260081,0.1758616,0.217407,0.1875042,-0.02811886,-0.03398,0.07715408,-0.0623305,0.04727802,0.3984064,0.000000000000,0.001963032,0.001442603,0.005112292,0.003670051,0.001917692,0.01203628,0.006506103,0.01722669,0.018491159,0.013510031,0.009529651,12.202415,0,-0.032001889,0.03398,0.054126981,-0.027342356,-0.022610119
,,,,,,1200,0.1544188,0.2602534,0.1844576,0.2100756,0.1907948,-0.017331284,-0.03655,0.06360318,-0.0409188,0.03119192,0.408178,-0.000000044000,0.004251141,0.001979614,0.001892071,0.001468956,0.001639322,0.022499731,0.01055017,0.012338511,0.012100946,0.005683219,0.010805654,12.264762,-0.053964953,-0.028163912,0.03655,0.030299603,-0.023222445,-0.009689331
,,,,,,1300,0.1545376,0.2597198,0.1863402,0.2105958,0.1888068,-0.01334122,-0.03815,0.0511015,-0.038129086,0.03852224,0.4243066,-0.000000046000,0.004349455,0.002405972,0.004557293,0.002900921,0.002733918,0.023761868,0.007673154,0.017612957,0.019559473,0.017157695,0.004660207,12.320376,-0.05667373,-0.010585505,0.03815,-0.012754836,0.01193601,-0.021461445
3,0.15,0.2,0.25,0.2,0.2,1000,0.169077,0.2108902,0.201244,0.2357848,0.183004,-0.06712412,-0.03857,0.1766814,-0.1349026,0.06391768,0.4203576,0.000000000000,0.00121254,0.001900186,0.003180666,0.002953475,0.002224049,0.006142311,0.00708924,0.010326087,0.014782403,0.011447094,0.009252962,12.206083,0,-0.052624515,0.03857,0.091385277,-0.048203054,-0.018213383
